Date,Description,Amount
2026-02-01,AWS,19200
2026-02-01,Google Cloud Platform,9350
2026-02-02,Salesforce,12800
2026-02-02,HubSpot Marketing Hub,4500
2026-02-03,Slack Enterprise,3200
2026-02-03,Zoom Business,1520
2026-02-04,Adobe Creative Cloud,2990
2026-02-04,Figma Organization,950
2026-02-05,Zendesk Suite,2200
2026-02-06,GitHub Team,440
2026-02-06,Atlassian Jira Cloud,1280
2026-02-07,Notion Team,990
2026-02-07,Asana Business,2590
2026-02-09,Stripe Fees,1920
2026-02-09,Mailchimp Pro,580
2026-02-10,Twilio Voice,720
2026-02-11,Microsoft Azure,7100
2026-02-12,Intercom Growth,1250
2026-02-13,SendGrid Pro,920
2026-02-14,Segment Team,1280
2026-02-15,DigitalOcean Droplets,440
2026-02-16,QuickBooks Online,720
2026-02-18,AWS,6400
2026-02-19,Salesforce,3200
2026-02-20,Slack Enterprise,800
2026-02-21,Zendesk Suite,550
2026-02-22,GitHub Team,110
2026-02-22,GitHub Team,220
2026-02-23,Monday.com Standard,990
2026-02-24,Cloudflare Pro,220
2026-02-25,Freshdesk Omnichannel,920
2026-02-26,Amplitude Growth,1720
2026-02-27,Mixpanel Team,860
2026-02-28,Pipedrive Advanced,1350
2026-02-28,Canva Teams,395
2026-02-28,Basecamp Pro,600
2026-02-04,PayPal Business,445
2026-02-08,Xero Standard,650
2026-02-17,Confluence Standard,1150
2026-02-20,Trello Business Class,560
2026-02-12,Zoom Business,380
2026-02-14,Stripe Fees,480
2026-02-06,Zendesk Suite,550
2026-02-10,Notion Team,330
2026-02-16,Help Scout Plus,890
2026-02-21,Bitbucket Premium,140
2026-02-25,Invision Enterprise,1200
2026-02-27,Discord Nitro Business,480
2026-02-03,Vonage API,620
2026-02-11,PayPal Business,180
